build,logn,n,fft,ifft,mul,full,restore,spread
ref_emu,1,2,10,247,703,970,115,0
ref_emu,2,4,1316,1737,1364,5733,211,1
ref_emu,3,8,5009,5867,2686,18571,403,1
ref_emu,4,16,14734,16503,5330,51301,787,1
ref_emu,5,32,38899,42555,10618,130971,1555,1
ref_emu,6,64,96696,104247,21194,318833,3091,1
ref_emu,7,128,231261,246835,42346,751703,6163,1
ref_emu,8,256,538370,570447,84650,1731837,12307,0
ref_emu,9,512,1228583,1294571,169258,3920995,24595,0
ref_emu,10,1024,2761036,2896647,338474,8757193,49171,1
ref_native,1,2,10,158,553,730,115,2
ref_native,2,4,1001,1254,1025,4280,211,1
ref_native,3,8,3774,4217,2029,13803,403,1
ref_native,4,16,11011,11882,4003,37938,787,0
ref_native,5,32,28773,30848,8086,96645,1555,1
ref_native,6,64,71782,75244,15883,234995,3091,1
ref_native,7,128,171683,179076,31736,553492,6163,0
ref_native,8,256,400604,414647,63592,1278573,12307,0
ref_native,9,512,911274,940414,127465,2890054,24595,0
ref_native,10,1024,2048989,2105671,254120,6456246,49171,1
myfft,1,2,407,592,557,1966,115,1
myfft,2,4,1664,1992,1024,6350,211,2
myfft,3,8,4943,5513,2023,17461,403,3
myfft,4,16,13151,14285,3997,44870,787,2
myfft,5,32,33237,35845,8065,110460,1555,1
myfft,6,64,80861,85641,15877,263209,3091,1
myfft,7,128,190917,200367,31745,613303,6163,1
myfft,8,256,438943,458606,63591,1399385,12307,2
myfft,9,512,991611,1034096,127359,3142722,24595,3
myfft,10,1024,2213021,2299275,254084,6978997,49171,3
