logn,n,my_fft,my_ifft,my_mulfft,my_full,ref_fft,ref_ifft,ref_mulfft,ref_full,schoolbook
1,2,6.235,5.750,1.918,16.605,1.916,2.875,2.403,5.692,9.584
2,4,12.453,17.250,2.945,43.653,6.229,7.183,3.351,21.578,16.771
3,8,23.020,31.855,4.806,80.839,14.382,13.159,2.922,42.777,53.272
4,16,48.846,53.721,8.513,153.841,30.653,29.514,4.790,98.085,199.883
5,32,78.487,95.127,9.617,264.615,57.129,69.973,9.696,177.371,1049.072
6,64,158.096,177.780,16.431,502.280,119.400,120.121,16.483,365.713,3944.092
7,128,318.354,360.437,26.859,1035.811,260.834,229.057,26.970,777.565,15277.344
8,256,694.395,745.878,49.276,2188.412,582.593,462.201,48.265,1674.435,58164.062
9,512,1493.290,1660.282,95.058,4727.978,1342.155,1001.305,94.070,3782.875,224687.500
10,1024,3151.459,3481.171,204.285,9901.932,3018.250,2166.687,200.897,8340.027,879062.500
