build,case,logn,bound,result,margin_bits,cycles
ref_emu,0,5,25,pass,40,130974
ref_emu,1,5,2048,pass,27,130974
ref_emu,2,6,25,pass,39,318836
ref_emu,3,7,25,pass,38,751706
ref_emu,4,8,25,pass,37,1731840
ref_emu,5,9,25,pass,37,3920998
ref_emu,6,9,25,pass,37,3920998
ref_emu,7,9,2048,pass,23,3920998
ref_emu,8,10,25,pass,36,8757196
ref_emu,9,10,2048,pass,23,8757196
ref_native,0,5,25,pass,40,96324
ref_native,1,5,2048,pass,27,97082
ref_native,2,6,25,pass,39,235123
ref_native,3,7,25,pass,38,554412
ref_native,4,8,25,pass,37,1275377
ref_native,5,9,25,pass,37,2890744
ref_native,6,9,25,pass,37,2889508
ref_native,7,9,2048,pass,23,2898235
ref_native,8,10,25,pass,36,6455613
ref_native,9,10,2048,pass,23,6469982
myfft,0,5,25,pass,39,107922
myfft,1,5,2048,pass,27,108778
myfft,2,6,25,pass,38,258673
myfft,3,7,25,pass,38,603422
myfft,4,8,25,pass,37,1377715
myfft,5,9,25,pass,36,3100636
myfft,6,9,25,pass,37,3102307
myfft,7,9,2048,pass,24,3110079
myfft,8,10,25,pass,36,6894562
myfft,9,10,2048,pass,23,6915916
